wcr_number,mean_ci_upper,pump_loc,mean_ci_lower,tot_completed_depth,gwl_2019,gsp_name,x,y
WCR1990-003324,170.73164817504755,168.71856283266493,166.7054774902823,260,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR1990-003325,156.83710770245818,154.82475491249656,152.81240212253493,240,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR1990-003327,280.0340261511566,278.01607560684454,275.9981250625325,414,102.0113569729688,Eastern San Joaquin,-120.97276000000001,38.19925999999998
WCR1990-003538,223.49917910693813,221.48356409584943,219.46794908476073,335,95.52748593940628,Eastern San Joaquin,-120.93617,38.15568999999999
WCR1990-003665,129.31044891263932,127.29963501144577,125.28882111025223,200,95.52748593940628,Eastern San Joaquin,-120.95466999999998,38.17030999999999
WCR1990-003666,284.3624757818557,282.34435981171424,280.32624384157276,420,97.43493383494507,Eastern San Joaquin,-120.89967,38.12660000000001
WCR1990-004754,284.3624757818557,282.34435981171424,280.32624384157276,420,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1990-004826,241.29365698920134,239.27726943567572,237.2608818821501,360,68.1271113739742,Eastern San Joaquin,-120.88129999999998,38.18498000000001
WCR1990-005036,212.86889335131292,210.85375803367447,208.838622716036,320,68.1271113739742,Eastern San Joaquin,-120.89939,38.184819999999995
WCR1990-005442,565.9639741219559,563.9377059894013,561.9114378568466,800,68.1271113739742,Eastern San Joaquin,-120.88126000000001,38.19965999999998
WCR1990-005449,241.29365698920134,239.27726943567572,237.2608818821501,360,72.53503674471494,Eastern San Joaquin,-120.84455,38.17091
WCR1990-005568,186.80768884852532,184.79379198876038,182.77989512899543,283,79.85184633540756,Eastern San Joaquin,-120.95469999999999,38.199279999999995
WCR1990-005572,184.70518018834804,182.6913873259737,180.67759446359935,280,95.52748593940628,Eastern San Joaquin,-120.95429,38.18472
WCR1990-005678,188.21027430352478,186.19630841726647,184.18234253100815,285,97.43493383494507,Eastern San Joaquin,-120.89980000000001,38.14118999999999
WCR1990-005738,198.75245286162365,196.73797696571287,194.7235010698021,300,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1990-005824,200.86561344586642,198.85103715558003,196.83646086529365,303,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1990-005826,200.86561344586642,198.85103715558003,196.83646086529365,303,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1990-005827,200.86561344586642,198.85103715558003,196.83646086529365,303,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1990-005830,200.86561344586642,198.85103715558003,196.83646086529365,303,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1990-005831,177.70888601648676,175.69544380894305,173.68200160139935,270,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1990-006060,134.78574921127364,132.77462004353362,130.7634908757936,208,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1990-006308,188.21027430352478,186.19630841726647,184.18234253100815,285,115.34835170264701,Eastern San Joaquin,-120.91772,38.11203999999999
WCR1990-006309,212.86889335131292,210.85375803367447,208.838622716036,320,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1990-006311,177.70888601648676,175.69544380894305,173.68200160139935,270,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1990-006319,132.730661508778,130.71965015531836,128.7086388018587,205,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1990-006345,163.77414514772627,161.76142293769595,159.74870072766564,250,81.50024538071347,Eastern San Joaquin,-120.9177,38.1705
WCR1990-006439,205.80229007900584,203.78748158326155,201.77267308751726,310,95.52748593940628,Eastern San Joaquin,-120.95475000000002,38.15555999999999
WCR1990-007069,184.70518018834804,182.6913873259737,180.67759446359935,280,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1990-007511,167.25038543199878,165.23748087013104,163.2245763082633,255,95.52748593940628,Eastern San Joaquin,-120.95475000000002,38.15555999999999
WCR1990-007538,136.15702266742434,134.1458152377374,132.13460780805045,210,115.34835170264701,Eastern San Joaquin,-120.89958999999996,38.11205
WCR1990-009819,212.86889335131292,210.85375803367447,208.838622716036,320,81.50024538071347,Eastern San Joaquin,-120.90006,38.15589999999998
WCR1990-009820,153.37650778330485,151.3643420547983,149.35217632629175,235,115.34835170264701,Eastern San Joaquin,-120.9177,38.09752
WCR1990-010577,327.88819456088174,325.8685053372952,323.8488161137086,480,68.1271113739742,Eastern San Joaquin,-120.91785999999999,38.21399000000001
WCR1990-010661,543.2899114940572,541.2641629440144,539.2384143939717,770,68.1271113739742,Eastern San Joaquin,-120.89930999999999,38.19937000000001
WCR1990-011220,212.86889335131292,210.85375803367447,208.838622716036,320,95.52748593940628,Eastern San Joaquin,-120.93617,38.15568999999999
WCR1990-011938,163.77414514772627,161.76142293769595,159.74870072766564,250,115.34835170264701,Eastern San Joaquin,-120.91758000000002,38.08302999999999
WCR1990-012112,237.7272693655689,235.71103370765493,233.69479804974097,355,95.52748593940628,Eastern San Joaquin,-120.95475000000002,38.15555999999999
WCR1990-012356,416.10811909550534,414.08565789840253,412.0631967012997,600,68.1271113739742,Eastern San Joaquin,-120.89930999999999,38.19937000000001
WCR1990-012394,146.47166923784337,144.4598822888055,142.4480953397676,225,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1990-012397,184.70518018834804,182.6913873259737,180.67759446359935,280,72.53503674471494,Eastern San Joaquin,-120.84455,38.17091
WCR1990-012875,209.33352703692543,207.31855441624663,205.30358179556782,315,115.34835170264701,Eastern San Joaquin,-120.89958999999996,38.11205
WCR1990-012906,641.9855388180114,639.9576449541522,637.929751090293,900,68.1271113739742,Eastern San Joaquin,-120.88126000000001,38.19965999999998
WCR1990-012907,163.77414514772627,161.76142293769595,159.74870072766564,250,115.34835170264701,Eastern San Joaquin,-120.91772,38.11203999999999
WCR1990-012910,230.60563233603833,228.58970435359797,226.5737763711576,345,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1990-012911,227.05048208310922,225.0347099155808,223.0189377480524,340,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1990-012955,277.15095384586016,275.13311445836155,273.11527507086294,410,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1990-012961,184.70518018834804,182.6913873259737,180.67759446359935,280,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1990-013176,132.730661508778,130.71965015531836,128.7086388018587,205,61.631586829720405,Eastern San Joaquin,-120.8441,38.18556000000001
WCR1990-013185,216.40832921013288,214.3930326065823,212.3777360030317,325,68.1271113739742,Eastern San Joaquin,-120.89930999999999,38.19937000000001
WCR1990-013186,184.70518018834804,182.6913873259737,180.67759446359935,280,97.43493383494507,Eastern San Joaquin,-120.89980000000001,38.14118999999999
WCR1990-013189,379.17504753359475,377.1536874073133,375.1323272810319,550,68.1271113739742,Eastern San Joaquin,-120.91785999999999,38.21399000000001
WCR1990-013190,163.77414514772627,161.76142293769595,159.74870072766564,250,72.53503674471494,Eastern San Joaquin,-120.84455,38.17091
WCR1990-013192,163.77414514772627,161.76142293769595,159.74870072766564,250,115.34835170264701,Eastern San Joaquin,-120.88109,38.11201999999999
WCR1990-013195,184.70518018834804,182.6913873259737,180.67759446359935,280,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1990-013203,167.25038543199878,165.23748087013104,163.2245763082633,255,81.50024538071347,Eastern San Joaquin,-120.91781,38.15579999999999
WCR1990-013211,269.952371614091,267.9348132319552,265.9172548498194,400,68.1271113739742,Eastern San Joaquin,-120.89930999999999,38.19937000000001
WCR1990-013214,397.61201606233647,395.5900965407285,393.5681770191205,575,115.34835170264701,Eastern San Joaquin,-120.88081999999997,38.09757999999999
WCR1990-013216,284.3624757818557,282.34435981171424,280.32624384157276,420,95.52748593940628,Eastern San Joaquin,-120.93617,38.15568999999999
WCR1990-013217,184.70518018834804,182.6913873259737,180.67759446359935,280,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1990-013219,234.1645781831667,232.14849570978063,230.13241323639457,350,81.50024538071347,Eastern San Joaquin,-120.88166999999997,38.17054000000002
WCR1990-013226,641.9855388180114,639.9576449541522,637.929751090293,900,68.1271113739742,Eastern San Joaquin,-120.88126000000001,38.19965999999998
WCR1990-013232,327.88819456088174,325.8685053372952,323.8488161137086,480,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1991-000850,170.73164817504755,168.71856283266493,166.7054774902823,260,81.50024538071347,Eastern San Joaquin,-120.90006,38.15589999999998
WCR1991-000854,269.952371614091,267.9348132319552,265.9172548498194,400,95.52748593940628,Eastern San Joaquin,-120.95429,38.18472
WCR1991-001165,177.70888601648676,175.69544380894305,173.68200160139935,270,95.52748593940628,Eastern San Joaquin,-120.954722,38.15555499999999
